id,access,highway,name,lanes,maxspeed,surface,motorcar,service,oneway,Links,latitude,longitude
way/24158513,private,residential,,2,30,paved,yes,,no,View on OSM,14.70181472,121.1117178
way/24158518,public,residential,A. Bonifacio Street,2,30,paved,yes,,no,View on OSM,14.69747668,121.1106495
way/24158573,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70106528,121.1116684
way/24158585,private,residential,,2,30,paved,yes,,no,View on OSM,14.69884007,121.1111334
way/24158628,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70058507,121.1114991
way/24158632,public,residential,A. Bonifacio Extension,2,30,paved,yes,,no,View on OSM,14.70109789,121.1120946
way/24158657,private,residential,,2,30,paved,yes,,no,View on OSM,14.6990015,121.111732
way/24158664,private,service,,2,20,unpaved,no,alley,no,View on OSM,14.6986705,121.1111405
way/24158694,destination,residential,Jupiter Street,2,30,paved,yes,,no,View on OSM,14.69759053,121.1111115
way/24158710,destination,residential,Humanity Village Road,2,30,paved,yes,,no,View on OSM,14.6982938,121.1108274
way/24158765,public,residential,General Villamor Street,2,30,paved,yes,,no,View on OSM,14.69553169,121.1093965
way/24158774,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.70070765,121.1117
way/24158792,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.7011479,121.1119572
way/24158865,private,residential,,2,30,paved,yes,,no,View on OSM,14.70171115,121.1116412
way/24158891,public,footway,,1,,paved,no,,no,View on OSM,14.69755185,121.1115336
way/28321106,public,residential,General Capinpin Street,2,30,paved,yes,,no,View on OSM,14.69532017,121.1100868
way/28321109,public,residential,General Yengko Street,2,30,paved,yes,,no,View on OSM,14.69526186,121.1098298
way/30438267,public,residential,General Antonio Luna Street,2,30,paved,yes,,no,View on OSM,14.69564578,121.110852
way/30438268,public,residential,General Lucban Street,2,30,paved,yes,,no,View on OSM,14.69640778,121.1110043
way/30438269,public,residential,General Malvar Street,2,30,paved,yes,,no,View on OSM,14.69641099,121.1104676
way/34910176,public,residential,San Jose Street,2,30,paved,yes,,no,View on OSM,14.70288821,121.1127636
way/124171728,public,residential,,2,30,paved,yes,,no,View on OSM,14.70183854,121.1135591
way/124171729,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70238185,121.1129547
way/124171732,private,residential,,2,30,paved,yes,,no,View on OSM,14.69938433,121.1105336
way/124171734,public,residential,,2,30,paved,yes,,no,View on OSM,14.70165593,121.1131282
way/124171735,private,residential,,2,30,paved,yes,,no,View on OSM,14.6992796,121.1104022
way/124171737,destination,residential,,2,30,paved,yes,,no,View on OSM,14.7016856,121.1140964
way/124171738,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.703047,121.1137154
way/124171740,public,residential,,2,30,paved,yes,,no,View on OSM,14.70197307,121.1130941
way/124171743,private,residential,,2,30,paved,yes,,no,View on OSM,14.69902923,121.1121927
way/124171749,private,residential,Housing Street,2,30,paved,yes,,no,View on OSM,14.69900303,121.1105935
way/124171754,public,residential,A. Bonifacio Extension,2,30,paved,yes,,no,View on OSM,14.69890444,121.1108196
way/124171755,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70239022,121.1135527
way/124171758,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70230746,121.1141183
way/124171759,public,residential,A. Bonifacio Street,2,30,paved,yes,,no,View on OSM,14.69851964,121.1090561
way/124171767,private,footway,,1,,paved,no,,no,View on OSM,14.70221955,121.1128987
way/124171771,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70208156,121.114304
way/237101539,public,residential,Pineda Street,2,30,paved,yes,,no,View on OSM,14.6972577,121.1102225
way/252721994,destination,service,Block 3-4,2,20,unpaved,yes,alley,no,View on OSM,14.7009343,121.1118282
way/252722014,public,path,,1,,paved,no,,no,View on OSM,14.7014803,121.112466
way/252722016,public,footway,,1,,paved,no,,no,View on OSM,14.70159757,121.1125797
way/252722017,private,residential,,2,30,paved,yes,,no,View on OSM,14.69930502,121.1113453
way/252722024,private,service,,2,20,unpaved,yes,,no,View on OSM,14.69987863,121.1108784
way/252724612,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70112742,121.1148677
way/260901194,public,path,,1,,paved,no,,no,View on OSM,14.70311284,121.1143109
way/482454409,public,residential,,2,30,paved,yes,,no,View on OSM,14.70483831,121.113441
way/482454411,public,footway,,1,,paved,no,,no,View on OSM,14.70444547,121.1128529
way/482454413,public,footway,,1,,paved,no,,no,View on OSM,14.70456,121.1128505
way/593463083,public,residential,General F. Macabulos Street,2,30,paved,yes,,no,View on OSM,14.69756963,121.1095692
way/594263300,private,residential,,2,30,paved,yes,,no,View on OSM,14.6988166,121.1101993
way/594263301,private,service,,2,20,unpaved,no,alley,no,View on OSM,14.69896593,121.1106125
way/594263302,private,service,,2,20,unpaved,no,alley,no,View on OSM,14.69908657,121.110467
way/594263304,destination,residential,Venus Street,2,30,paved,yes,,no,View on OSM,14.6980843,121.1112555
way/594263306,public,residential,General Geronimo Street,2,30,paved,yes,,no,View on OSM,14.697248,121.1099183
way/594263307,private,service,,2,20,unpaved,no,alley,no,View on OSM,14.701815,121.111735
way/594263308,private,service,,2,20,unpaved,no,alley,no,View on OSM,14.69828465,121.1114313
way/594263309,private,residential,,2,30,paved,yes,,no,View on OSM,14.69854183,121.1115272
way/594263310,private,residential,,2,30,paved,yes,,no,View on OSM,14.69908695,121.1118974
way/594263311,private,residential,,2,30,paved,yes,,no,View on OSM,14.6994812,121.1119463
way/594263312,private,residential,,2,30,paved,yes,,no,View on OSM,14.6992919,121.1116022
way/594263313,private,residential,,2,30,paved,yes,,no,View on OSM,14.69880088,121.1115462
way/594266972,private,residential,,2,30,unpaved,yes,,no,View on OSM,14.70109518,121.1134787
way/594266974,public,path,,1,,paved,no,,no,View on OSM,14.70030075,121.1127241
way/594266976,public,path,,1,,paved,no,,no,View on OSM,14.70064745,121.1123499
way/594266978,public,path,,1,,paved,no,,no,View on OSM,14.70066533,121.1122681
way/594266980,public,path,,1,,paved,no,,no,View on OSM,14.70074898,121.1123359
way/594266982,public,path,,1,,paved,no,,no,View on OSM,14.70075003,121.11223
way/596079598,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70242484,121.1132809
way/596079599,public,path,,1,,paved,no,,no,View on OSM,14.700499,121.112369
way/596079600,public,path,,1,,paved,no,,no,View on OSM,14.70029919,121.1121421
way/596079601,public,path,,1,,paved,no,,no,View on OSM,14.70027853,121.1123823
way/596082043,public,path,,1,,paved,no,,no,View on OSM,14.70044157,121.1134276
way/596082044,private,residential,,2,30,paved,yes,,no,View on OSM,14.70175852,121.1120802
way/596082045,public,residential,,2,30,paved,yes,,no,View on OSM,14.70282765,121.1128175
way/596082046,public,residential,,2,30,paved,yes,,no,View on OSM,14.70290626,121.1132138
way/596082047,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.7024769,121.1136305
way/596082048,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.70226085,121.1139377
way/596082049,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.70236855,121.1137633
way/596082050,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.7023096,121.1138562
way/596164543,public,footway,,1,,paved,no,,no,View on OSM,14.70311465,121.1129939
way/596164547,destination,residential,,2,30,paved,yes,,no,View on OSM,14.7028525,121.1139446
way/596164548,destination,residential,,2,30,paved,yes,,no,View on OSM,14.7031427,121.113692
way/596164549,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70315165,121.1133055
way/726574325,private,residential,,2,30,paved,yes,,no,View on OSM,14.70160777,121.1115069
way/726574326,public,residential,A. Bonifacio Extension,2,30,paved,yes,,no,View on OSM,14.69984785,121.1114699
way/726574328,public,path,,1,,paved,no,,no,View on OSM,14.70137294,121.1126506
way/726574329,public,path,,1,,paved,no,,no,View on OSM,14.7009764,121.1122926
way/726574330,public,path,,1,,paved,no,,no,View on OSM,14.70119165,121.1122486
way/797207912,private,residential,,2,30,paved,yes,,no,View on OSM,14.70175567,121.1118238
way/894137266,destination,residential,,2,30,unpaved,yes,,no,View on OSM,14.70126593,121.1140128
way/894148063,destination,residential,,2,30,paved,yes,,no,View on OSM,14.7019294,121.1145584
way/894148064,destination,residential,,2,30,paved,yes,,no,View on OSM,14.7008128,121.1157325
way/894520854,public,residential,,2,30,paved,yes,,no,View on OSM,14.7044113,121.1129016
way/894520855,public,residential,,2,30,paved,yes,,no,View on OSM,14.7044614,121.1130007
way/894520856,public,residential,,2,30,paved,yes,,no,View on OSM,14.7045063,121.1130784
way/894528181,public,footway,,2,,paved,no,,no,View on OSM,14.7046215,121.1128518
way/894528182,public,residential,,2,30,paved,yes,,no,View on OSM,14.70438415,121.112839
way/895405822,public,path,,1,,paved,no,,no,View on OSM,14.70407976,121.1136312
way/895405823,public,path,,1,,paved,no,,no,View on OSM,14.70375185,121.1136838
way/895405824,public,residential,,2,30,paved,yes,,no,View on OSM,14.70442913,121.1136778
way/895428121,private,pedestrian,,2,,paved,no,,no,View on OSM,14.70025207,121.1108876
way/895508312,public,residential,Lingayen Street,2,30,paved,yes,,no,View on OSM,14.70521775,121.1117719
way/902938214,public,residential,,2,30,paved,yes,,no,View on OSM,14.7012733,121.1130913
way/902938824,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70151759,121.1151995
way/1106980149,public,residential,Lingayen Street,2,30,paved,yes,,no,View on OSM,14.70431483,121.1126794
way/1106999424,public,path,,1,,paved,no,,no,View on OSM,14.70387988,121.1143276
way/1106999427,private,service,,2,20,unpaved,yes,driveway,no,View on OSM,14.70463626,121.114575
way/1106999428,private,service,,2,20,unpaved,yes,driveway,no,View on OSM,14.70460964,121.1139396
way/1107013136,public,footway,,1,,paved,no,,no,View on OSM,14.70457216,121.1126279
way/1107024937,private,service,,2,20,unpaved,yes,,no,View on OSM,14.70026215,121.1104338
way/11070249,public,residential,A. Bonifacio Extension,2,30,paved,yes,,no,View on OSM,30.5325624,-83.66192095
way/1107029202,private,service,,2,20,unpaved,no,,no,View on OSM,14.69940525,121.1125324
way/1107228887,public,residential,General Antonio Luna Street,2,30,paved,yes,,no,View on OSM,14.69423414,121.1106443
way/1123244168,public,residential,Jupiter Street,2,30,paved,yes,,no,View on OSM,14.6982186,121.1104187
way/1123244169,public,residential,A. Bonifacio Street,2,30,paved,yes,,no,View on OSM,14.6968527,121.1114489
way/1123244170,public,residential,General Geronimo Street,2,30,paved,yes,,no,View on OSM,14.69793725,121.1104122
way/1123244172,public,residential,J. P. Rizal Street,2,30,paved,yes,,no,View on OSM,14.69585908,121.1099853
way/1283425173,private,service,,2,20,unpaved,no,alley,no,View on OSM,14.69935696,121.1099628
way/1307282281,public,footway,,1,,paved,no,,no,View on OSM,14.70463478,121.1128867
way/1307282282,public,service,,2,20,unpaved,yes,driveway,no,View on OSM,14.70483905,121.1134928
way/1307285143,public,path,,1,,paved,no,,no,View on OSM,14.7038985,121.1132531
way/1307285144,public,path,,1,,paved,no,,no,View on OSM,14.7038903,121.1130765
way/1307289669,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.7014687,121.1141431
way/1307289670,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.70149655,121.113931
way/1307289671,public,residential,San Isidro Labrador Street,2,30,paved,yes,,no,View on OSM,14.70347455,121.1129873
way/1307289672,public,residential,,2,30,paved,yes,,no,View on OSM,14.70324715,121.112933
way/1307289673,public,footway,,1,,paved,no,,no,View on OSM,14.7022786,121.1126765
way/1307289674,private,residential,,2,30,paved,yes,,no,View on OSM,14.70277815,121.113012
way/1307299198,destination,pedestrian,,1,,paved,no,,no,View on OSM,14.70124205,121.1149719
way/1307299199,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.7011975,121.1155676
way/1307299200,destination,residential,,2,30,paved,yes,,no,View on OSM,14.7005111,121.1147628
way/1307300478,private,residential,,2,30,unpaved,yes,,no,View on OSM,14.7009507,121.1132702
way/1307300479,private,residential,,2,30,unpaved,yes,,no,View on OSM,14.70073955,121.113242
way/1307300480,destination,service,,2,20,unpaved,yes,alley,no,View on OSM,14.7015211,121.1137299
way/1307304323,public,path,,1,,paved,no,,no,View on OSM,14.7025475,121.1145298
way/1307304324,public,path,,1,,paved,no,,no,View on OSM,14.7024351,121.114326
way/1307304325,public,path,,1,,paved,no,,no,View on OSM,14.70257863,121.1146273
way/1307304326,public,path,,1,,paved,no,,no,View on OSM,14.702998,121.1141466
way/1307304327,public,path,,1,,paved,no,,no,View on OSM,14.7030583,121.1139974
way/1307304328,destination,residential,San Isidro Labrador Street,2,30,paved,yes,,no,View on OSM,14.70334266,121.1134068
way/1307304329,public,residential,,2,30,unpaved,yes,,no,View on OSM,14.7017482,121.1135685
way/1307304330,public,residential,,2,30,paved,yes,,no,View on OSM,14.7017526,121.1136412
way/1307304331,public,residential,,2,30,paved,yes,,no,View on OSM,14.7026486,121.1127738
way/1307304332,public,residential,,2,30,paved,yes,,no,View on OSM,14.70244605,121.1127251
way/1307304333,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70210327,121.1136899
way/1307304334,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70142315,121.1143515
way/1308003781,private,residential,,2,30,paved,yes,,no,View on OSM,14.69911245,121.1102351
way/1308003782,public,residential,,2,30,paved,yes,,no,View on OSM,14.69849045,121.1103489
way/1308008785,public,residential,,2,30,paved,yes,,no,View on OSM,14.6993712,121.1112174
way/1308014517,public,residential,Humanity Village Road,2,30,paved,yes,,no,View on OSM,14.69807095,121.1106043
way/1308014518,destination,residential,Saturn Street,2,30,paved,yes,,no,View on OSM,14.69763592,121.1114427
way/1308014519,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.6979008,121.1111294
way/1308014520,destination,steps,,2,,paved,no,,no,View on OSM,14.6982091,121.1108015
way/1308014521,destination,service,,2,20,unpaved,no,alley,no,View on OSM,14.69830755,121.1106968
way/1308022679,public,residential,,2,30,paved,yes,,no,View on OSM,14.7016017,121.1121677
way/1308024165,public,residential,,2,30,paved,yes,,no,View on OSM,14.70013195,121.1117539
way/1308024166,public,residential,,2,30,paved,yes,,no,View on OSM,14.7014645,121.1121313
way/1308024167,public,service,,2,20,unpaved,no,alley,no,View on OSM,14.70101445,121.112037
way/1308024168,public,service,Block 3-4,2,20,unpaved,no,alley,no,View on OSM,14.7007314,121.111955
way/1308024169,public,service,,2,20,unpaved,no,alley,no,View on OSM,14.70042755,121.1118705
way/1308024170,public,path,,1,,paved,no,,no,View on OSM,14.7005176,121.1120434
way/1308025028,public,service,,2,20,unpaved,yes,driveway,no,View on OSM,14.69940603,121.1111584
way/1308025029,public,pedestrian,,2,,paved,no,,no,View on OSM,14.6997153,121.1113649
way/1308026590,public,residential,,2,30,paved,yes,,no,View on OSM,14.6989383,121.1109734
way/1308026591,public,residential,,2,30,paved,yes,,no,View on OSM,14.69922595,121.1110799
way/1308026592,public,residential,,2,30,paved,yes,,no,View on OSM,14.69881265,121.1108287
way/1308324995,destination,residential,,2,30,paved,yes,,no,View on OSM,14.702559,121.1131122
way/1308324996,destination,residential,,2,30,paved,yes,,no,View on OSM,14.70129165,121.1146348
way/1309904252,public,residential,,2,30,paved,yes,,no,View on OSM,14.7016132,121.112218
way/1309904253,private,residential,,2,30,paved,yes,,no,View on OSM,14.70171553,121.1122359
